,Product,F22031,F23197,F30658,F34365,F5677,F63912,F9670,H27930,H47921,H5708,M1608,M37351,M55212,M74707,PA7,PAO1,S86968,T38079,T52373,T6313,T63266,W16407,W25637,W36662,W45909,W60856,W70332,W91453,X78812,X9820
fig|287.6770.peg.5505,Acetohydroxy acid synthase,fig|287.6613.peg.5574,fig|287.6611.peg.5482,fig|287.6614.peg.6187,fig|287.6616.peg.5464,fig|287.6612.peg.5676,fig|287.6618.peg.5691,fig|287.6615.peg.5843,fig|287.6617.peg.5534,fig|287.6621.peg.5803,fig|287.6619.peg.5294,fig|287.6622.peg.5476,fig|287.6623.peg.5942,fig|287.6624.peg.6278,fig|287.6625.peg.5486,fig|287.6657.peg.5620,fig|287.6655.peg.5243,fig|287.6631.peg.5895,fig|287.6628.peg.5786,fig|287.6632.peg.5302,fig|287.6629.peg.5938,fig|287.6635.peg.5503,fig|287.6633.peg.5802,fig|287.6634.peg.6240,fig|287.6637.peg.5797,fig|287.6636.peg.5766,fig|287.6620.peg.5888,fig|287.6630.peg.5719,fig|287.6639.peg.6106,fig|287.6638.peg.5303,fig|287.6627.peg.5389
fig|287.6770.peg.5506,Acyl-CoA synthetase clustered with carnitinyl-CoA dehydratase,fig|287.6613.peg.5575,fig|287.6611.peg.5483,fig|287.6614.peg.6188,fig|287.6616.peg.5465,fig|287.6612.peg.5677,fig|287.6618.peg.5692,fig|287.6615.peg.5844,fig|287.6617.peg.5535,fig|287.6621.peg.5804,fig|287.6619.peg.5295,fig|287.6622.peg.5477,fig|287.6623.peg.5943,fig|287.6624.peg.6279,fig|287.6625.peg.5487,fig|287.6657.peg.5621,fig|287.6655.peg.5244,fig|287.6631.peg.5896,fig|287.6628.peg.5787,fig|287.6632.peg.5303,fig|287.6629.peg.5939,fig|287.6635.peg.5504,fig|287.6633.peg.5803,fig|287.6634.peg.6241,fig|287.6637.peg.5798,fig|287.6636.peg.5767,fig|287.6620.peg.5889,fig|287.6630.peg.5720,fig|287.6639.peg.6107,fig|287.6638.peg.5304,fig|287.6627.peg.5390
fig|287.6770.peg.5507,Acyl-CoA dehydrogenase PA4979,fig|287.6613.peg.5576,fig|287.6611.peg.5484,fig|287.6614.peg.6189,fig|287.6616.peg.5466,fig|287.6612.peg.5678,fig|287.6618.peg.5693,fig|287.6615.peg.5845,fig|287.6617.peg.5536,fig|287.6621.peg.5805,fig|287.6619.peg.5296,fig|287.6622.peg.5478,fig|287.6623.peg.5944,fig|287.6624.peg.6280,fig|287.6625.peg.5488,fig|287.6657.peg.5622,fig|287.6655.peg.5245,fig|287.6631.peg.5897,fig|287.6628.peg.5788,fig|287.6632.peg.5304,fig|287.6629.peg.5940,fig|287.6635.peg.5505,fig|287.6633.peg.5804,fig|287.6634.peg.6242,fig|287.6637.peg.5799,fig|287.6636.peg.5768,fig|287.6620.peg.5890,fig|287.6630.peg.5721,fig|287.6639.peg.6108,fig|287.6638.peg.5305,fig|287.6627.peg.5391
fig|287.6770.peg.5508,Carnitinyl-CoA dehydratase (EC 4.2.1.149),fig|287.6613.peg.5577,fig|287.6611.peg.5485,fig|287.6614.peg.6190,fig|287.6616.peg.5467,fig|287.6612.peg.5679,fig|287.6618.peg.5694,fig|287.6615.peg.5846,fig|287.6617.peg.5537,fig|287.6621.peg.5806,fig|287.6619.peg.5297,fig|287.6622.peg.5479,fig|287.6623.peg.5945,fig|287.6624.peg.6281,fig|287.6625.peg.5489,fig|287.6657.peg.5623,fig|287.6655.peg.5246,fig|287.6631.peg.5898,fig|287.6628.peg.5789,fig|287.6632.peg.5305,fig|287.6629.peg.5941,fig|287.6635.peg.5506,fig|287.6633.peg.5805,fig|287.6634.peg.6243,fig|287.6637.peg.5800,fig|287.6636.peg.5769,fig|287.6620.peg.5891,fig|287.6630.peg.5722,fig|287.6639.peg.6109,fig|287.6638.peg.5306,fig|287.6627.peg.5392
fig|287.6770.peg.5509,FIG00954814: hypothetical protein,fig|287.6613.peg.5578,fig|287.6611.peg.5486,fig|287.6614.peg.6191,fig|287.6616.peg.5468,,fig|287.6618.peg.5695,fig|287.6615.peg.5847,fig|287.6617.peg.5538,fig|287.6621.peg.5807,fig|287.6619.peg.5298,fig|287.6622.peg.5480,fig|287.6623.peg.5946,fig|287.6624.peg.6282,,,fig|287.6655.peg.5247,fig|287.6631.peg.5899,,fig|287.6632.peg.5306,fig|287.6629.peg.5942,fig|287.6635.peg.5507,fig|287.6633.peg.5806,fig|287.6634.peg.6244,fig|287.6637.peg.5801,fig|287.6636.peg.5770,fig|287.6620.peg.5892,fig|287.6630.peg.5723,fig|287.6639.peg.6110,fig|287.6638.peg.5307,fig|287.6627.peg.5393
fig|287.6770.peg.550,Long chain acyl-CoA dehydrogenase [fadN-fadA-fadE operon] (EC 1.3.8.8),fig|287.6613.peg.540,fig|287.6611.peg.541,fig|287.6614.peg.545,fig|287.6616.peg.535,fig|287.6612.peg.542,fig|287.6618.peg.525,fig|287.6615.peg.558,fig|287.6617.peg.544,fig|287.6621.peg.611,fig|287.6619.peg.555,fig|287.6622.peg.603,fig|287.6623.peg.605,fig|287.6624.peg.546,fig|287.6625.peg.530,fig|287.6657.peg.608,fig|287.6655.peg.539,fig|287.6631.peg.549,fig|287.6628.peg.553,fig|287.6632.peg.540,fig|287.6629.peg.594,fig|287.6635.peg.544,fig|287.6633.peg.540,fig|287.6634.peg.548,fig|287.6637.peg.632,fig|287.6636.peg.537,fig|287.6620.peg.544,fig|287.6630.peg.559,fig|287.6639.peg.548,fig|287.6638.peg.540,fig|287.6627.peg.528
fig|287.6770.peg.5510,Arginine permease RocE,fig|287.6613.peg.5579,fig|287.6611.peg.5487,fig|287.6614.peg.6192,fig|287.6616.peg.5469,,fig|287.6618.peg.5696,fig|287.6615.peg.5848,fig|287.6617.peg.5539,fig|287.6621.peg.5808,fig|287.6619.peg.5299,fig|287.6622.peg.5481,fig|287.6623.peg.5947,fig|287.6624.peg.6283,,fig|287.6657.peg.5624,fig|287.6655.peg.5248,fig|287.6631.peg.5900,,fig|287.6632.peg.5307,fig|287.6629.peg.5943,fig|287.6635.peg.5508,fig|287.6633.peg.5807,fig|287.6634.peg.6245,fig|287.6637.peg.5802,fig|287.6636.peg.5771,fig|287.6620.peg.5893,fig|287.6630.peg.5724,fig|287.6639.peg.6111,fig|287.6638.peg.5308,fig|287.6627.peg.5394
fig|287.6770.peg.5511,Putative two-component sensor,fig|287.6613.peg.5580,fig|287.6611.peg.5488,,fig|287.6616.peg.5470,fig|287.6612.peg.5682,fig|287.6618.peg.5697,fig|287.6615.peg.5849,fig|287.6617.peg.5540,fig|287.6621.peg.5809,fig|287.6619.peg.5300,fig|287.6622.peg.5482,fig|287.6623.peg.5948,,fig|287.6625.peg.5492,fig|287.6657.peg.5625,fig|287.6655.peg.5249,fig|287.6631.peg.5901,fig|287.6628.peg.5792,fig|287.6632.peg.5308,fig|287.6629.peg.5944,fig|287.6635.peg.5509,fig|287.6633.peg.5808,,fig|287.6637.peg.5803,fig|287.6636.peg.5772,fig|287.6620.peg.5894,fig|287.6630.peg.5725,,fig|287.6638.peg.5309,fig|287.6627.peg.5395
fig|287.6770.peg.5512,"ABC-type amino acid transport/signal transduction system, periplasmic component/domain",fig|287.6613.peg.5581,fig|287.6611.peg.5489,fig|287.6614.peg.6194,fig|287.6616.peg.5471,fig|287.6612.peg.5683,fig|287.6618.peg.5698,fig|287.6615.peg.5850,fig|287.6617.peg.5541,fig|287.6621.peg.5810,fig|287.6619.peg.5301,fig|287.6622.peg.5483,fig|287.6623.peg.5949,fig|287.6624.peg.6285,fig|287.6625.peg.5493,fig|287.6657.peg.5626,fig|287.6655.peg.5250,fig|287.6631.peg.5902,fig|287.6628.peg.5793,fig|287.6632.peg.5309,fig|287.6629.peg.5945,fig|287.6635.peg.5510,fig|287.6633.peg.5809,fig|287.6634.peg.6247,fig|287.6637.peg.5804,fig|287.6636.peg.5773,fig|287.6620.peg.5895,fig|287.6630.peg.5726,fig|287.6639.peg.6113,fig|287.6638.peg.5310,fig|287.6627.peg.5396
fig|287.6770.peg.5513,"Two-component transcriptional response regulator, OmpR family",fig|287.6613.peg.5582,fig|287.6611.peg.5490,fig|287.6614.peg.6195,fig|287.6616.peg.5472,fig|287.6612.peg.5684,fig|287.6618.peg.5699,fig|287.6615.peg.5851,fig|287.6617.peg.5542,fig|287.6621.peg.5811,fig|287.6619.peg.5302,fig|287.6622.peg.5484,fig|287.6623.peg.5950,fig|287.6624.peg.6286,fig|287.6625.peg.5494,fig|287.6657.peg.5627,fig|287.6655.peg.5251,fig|287.6631.peg.5903,fig|287.6628.peg.5794,fig|287.6632.peg.5310,fig|287.6629.peg.5946,fig|287.6635.peg.5511,fig|287.6633.peg.5810,fig|287.6634.peg.6248,fig|287.6637.peg.5805,fig|287.6636.peg.5774,fig|287.6620.peg.5896,fig|287.6630.peg.5727,fig|287.6639.peg.6114,fig|287.6638.peg.5311,fig|287.6627.peg.5397
fig|287.6770.peg.5514,"Transcriptional regulator, AcrR family",fig|287.6613.peg.5583,fig|287.6611.peg.5491,fig|287.6614.peg.6196,fig|287.6616.peg.5473,fig|287.6612.peg.5685,fig|287.6618.peg.5700,fig|287.6615.peg.5852,fig|287.6617.peg.5543,fig|287.6621.peg.5812,fig|287.6619.peg.5303,fig|287.6622.peg.5485,fig|287.6623.peg.5951,fig|287.6624.peg.6287,fig|287.6625.peg.5495,fig|287.6657.peg.5628,fig|287.6655.peg.5252,fig|287.6631.peg.5904,fig|287.6628.peg.5795,fig|287.6632.peg.5311,fig|287.6629.peg.5947,fig|287.6635.peg.5512,fig|287.6633.peg.5811,fig|287.6634.peg.6249,fig|287.6637.peg.5806,fig|287.6636.peg.5775,fig|287.6620.peg.5897,fig|287.6630.peg.5728,fig|287.6639.peg.6115,fig|287.6638.peg.5312,fig|287.6627.peg.5398
fig|287.6770.peg.5515,Spermidine/putrescine-binding periplasmic protein,fig|287.6613.peg.5584,fig|287.6611.peg.5492,fig|287.6614.peg.6197,fig|287.6616.peg.5474,fig|287.6612.peg.5686,fig|287.6618.peg.5701,fig|287.6615.peg.5853,fig|287.6617.peg.5544,fig|287.6621.peg.5813,fig|287.6619.peg.5304,fig|287.6622.peg.5486,fig|287.6623.peg.5952,fig|287.6624.peg.6288,fig|287.6625.peg.5496,fig|287.6657.peg.5629,fig|287.6655.peg.5253,fig|287.6631.peg.5905,fig|287.6628.peg.5796,fig|287.6632.peg.5312,fig|287.6629.peg.5948,fig|287.6635.peg.5513,fig|287.6633.peg.5812,fig|287.6634.peg.6250,fig|287.6637.peg.5807,fig|287.6636.peg.5776,fig|287.6620.peg.5898,fig|287.6630.peg.5729,fig|287.6639.peg.6116,fig|287.6638.peg.5313,fig|287.6627.peg.5399
fig|287.6770.peg.5516,Putative oxidoreductase,fig|287.6613.peg.5585,fig|287.6611.peg.5493,fig|287.6614.peg.6198,fig|287.6616.peg.5475,fig|287.6612.peg.5687,fig|287.6618.peg.5702,fig|287.6615.peg.5854,fig|287.6617.peg.5545,fig|287.6621.peg.5814,fig|287.6619.peg.5305,fig|287.6622.peg.5487,fig|287.6623.peg.5953,fig|287.6624.peg.6289,fig|287.6625.peg.5497,fig|287.6657.peg.5630,fig|287.6655.peg.5254,fig|287.6631.peg.5906,fig|287.6628.peg.5797,fig|287.6632.peg.5313,fig|287.6629.peg.5949,fig|287.6635.peg.5514,fig|287.6633.peg.5813,fig|287.6634.peg.6251,fig|287.6637.peg.5808,fig|287.6636.peg.5777,fig|287.6620.peg.5899,fig|287.6630.peg.5730,fig|287.6639.peg.6117,fig|287.6638.peg.5314,fig|287.6627.peg.5400
fig|287.6770.peg.5517,Transcriptional regulator,fig|287.6613.peg.5586,fig|287.6611.peg.5494,fig|287.6614.peg.6199,fig|287.6616.peg.5476,fig|287.6612.peg.5688,fig|287.6618.peg.5703,fig|287.6615.peg.5855,fig|287.6617.peg.5546,fig|287.6621.peg.5815,fig|287.6619.peg.5306,fig|287.6622.peg.5488,fig|287.6623.peg.5954,fig|287.6624.peg.6290,fig|287.6625.peg.5498,fig|287.6657.peg.5631,fig|287.6655.peg.5255,fig|287.6631.peg.5907,fig|287.6628.peg.5798,fig|287.6632.peg.5314,fig|287.6629.peg.5950,fig|287.6635.peg.5515,fig|287.6633.peg.5814,fig|287.6634.peg.6252,fig|287.6637.peg.5809,fig|287.6636.peg.5778,fig|287.6620.peg.5900,fig|287.6630.peg.5731,fig|287.6639.peg.6118,fig|287.6638.peg.5315,fig|287.6627.peg.5401
fig|287.6770.peg.5518,3-deoxy-D-manno-octulosonic acid transferase (EC 2.4.99.12)(EC 2.4.99.13),fig|287.6613.peg.5587,fig|287.6611.peg.5495,fig|287.6614.peg.6200,fig|287.6616.peg.5477,fig|287.6612.peg.5689,fig|287.6618.peg.5704,fig|287.6615.peg.5856,fig|287.6617.peg.5547,fig|287.6621.peg.5816,fig|287.6619.peg.5307,fig|287.6622.peg.5489,fig|287.6623.peg.5955,fig|287.6624.peg.6291,fig|287.6625.peg.5499,fig|287.6657.peg.5632,fig|287.6655.peg.5256,fig|287.6631.peg.5908,fig|287.6628.peg.5799,fig|287.6632.peg.5315,fig|287.6629.peg.5951,fig|287.6635.peg.5516,fig|287.6633.peg.5815,fig|287.6634.peg.6253,fig|287.6637.peg.5810,fig|287.6636.peg.5779,fig|287.6620.peg.5901,fig|287.6630.peg.5732,fig|287.6639.peg.6119,fig|287.6638.peg.5316,fig|287.6627.peg.5402
fig|287.6770.peg.5519,"Transcriptional regulator PA4989, LysR family",fig|287.6613.peg.5588,fig|287.6611.peg.5496,fig|287.6614.peg.6201,fig|287.6616.peg.5478,fig|287.6612.peg.5690,fig|287.6618.peg.5705,fig|287.6615.peg.5857,fig|287.6617.peg.5548,fig|287.6621.peg.5817,fig|287.6619.peg.5308,fig|287.6622.peg.5490,fig|287.6623.peg.5956,fig|287.6624.peg.6292,fig|287.6625.peg.5500,fig|287.6657.peg.5633,fig|287.6655.peg.5257,fig|287.6631.peg.5909,fig|287.6628.peg.5800,fig|287.6632.peg.5316,fig|287.6629.peg.5952,fig|287.6635.peg.5517,fig|287.6633.peg.5816,fig|287.6634.peg.6254,fig|287.6637.peg.5811,fig|287.6636.peg.5780,fig|287.6620.peg.5902,fig|287.6630.peg.5733,fig|287.6639.peg.6120,fig|287.6638.peg.5317,fig|287.6627.peg.5403
fig|287.6770.peg.551,Long chain acyl-CoA dehydrogenase [fadN-fadA-fadE operon] (EC 1.3.8.8),fig|287.6613.peg.541,fig|287.6611.peg.542,fig|287.6614.peg.546,fig|287.6616.peg.536,fig|287.6612.peg.543,fig|287.6618.peg.526,fig|287.6615.peg.559,fig|287.6617.peg.545,fig|287.6621.peg.612,fig|287.6619.peg.556,fig|287.6622.peg.604,fig|287.6623.peg.606,fig|287.6624.peg.547,fig|287.6625.peg.531,fig|287.6657.peg.609,fig|287.6655.peg.540,fig|287.6631.peg.550,fig|287.6628.peg.554,fig|287.6632.peg.541,fig|287.6629.peg.595,fig|287.6635.peg.545,fig|287.6633.peg.541,fig|287.6634.peg.549,fig|287.6637.peg.633,fig|287.6636.peg.538,fig|287.6620.peg.545,fig|287.6630.peg.560,fig|287.6639.peg.549,fig|287.6638.peg.541,fig|287.6627.peg.529
fig|287.6770.peg.5520,small multidrug resistance family (SMR) protein,fig|287.6613.peg.5589,fig|287.6611.peg.5497,fig|287.6614.peg.6202,fig|287.6616.peg.5479,fig|287.6612.peg.5691,fig|287.6618.peg.5706,fig|287.6615.peg.5858,fig|287.6617.peg.5549,fig|287.6621.peg.5818,fig|287.6619.peg.5309,fig|287.6622.peg.5491,fig|287.6623.peg.5957,fig|287.6624.peg.6293,fig|287.6625.peg.5501,fig|287.6657.peg.5634,fig|287.6655.peg.5258,fig|287.6631.peg.5910,fig|287.6628.peg.5801,fig|287.6632.peg.5317,fig|287.6629.peg.5953,fig|287.6635.peg.5518,fig|287.6633.peg.5817,fig|287.6634.peg.6255,fig|287.6637.peg.5812,fig|287.6636.peg.5781,fig|287.6620.peg.5903,fig|287.6630.peg.5734,fig|287.6639.peg.6121,fig|287.6638.peg.5318,fig|287.6627.peg.5404
fig|287.6770.peg.5521,Glycerol-3-phosphate dehydrogenase,fig|287.6613.peg.5590,fig|287.6611.peg.5498,fig|287.6614.peg.6203,fig|287.6616.peg.5480,fig|287.6612.peg.5692,fig|287.6618.peg.5707,fig|287.6615.peg.5859,fig|287.6617.peg.5550,fig|287.6621.peg.5819,fig|287.6619.peg.5310,fig|287.6622.peg.5492,fig|287.6623.peg.5958,fig|287.6624.peg.6294,fig|287.6625.peg.5502,fig|287.6657.peg.5635,fig|287.6655.peg.5259,fig|287.6631.peg.5911,fig|287.6628.peg.5802,fig|287.6632.peg.5318,fig|287.6629.peg.5954,fig|287.6635.peg.5519,fig|287.6633.peg.5818,fig|287.6634.peg.6256,fig|287.6637.peg.5813,fig|287.6636.peg.5782,fig|287.6620.peg.5904,fig|287.6630.peg.5735,fig|287.6639.peg.6122,fig|287.6638.peg.5319,fig|287.6627.peg.5405
fig|287.6770.peg.5522,"Oxidoreductase, aldo/keto reductase family",fig|287.6613.peg.5591,fig|287.6611.peg.5499,fig|287.6614.peg.6204,fig|287.6616.peg.5481,fig|287.6612.peg.5693,fig|287.6618.peg.5708,fig|287.6615.peg.5860,fig|287.6617.peg.5551,fig|287.6621.peg.5820,fig|287.6619.peg.5311,fig|287.6622.peg.5493,fig|287.6623.peg.5959,fig|287.6624.peg.6295,fig|287.6625.peg.5503,fig|287.6657.peg.5636,fig|287.6655.peg.5260,fig|287.6631.peg.5912,fig|287.6628.peg.5803,fig|287.6632.peg.5319,fig|287.6629.peg.5955,fig|287.6635.peg.5520,fig|287.6633.peg.5819,fig|287.6634.peg.6257,fig|287.6637.peg.5814,fig|287.6636.peg.5783,fig|287.6620.peg.5905,fig|287.6630.peg.5736,fig|287.6639.peg.6123,fig|287.6638.peg.5320,fig|287.6627.peg.5406
fig|287.6770.peg.5523,Cation transport ATPase,fig|287.6613.peg.5592,fig|287.6611.peg.5500,fig|287.6614.peg.6205,fig|287.6616.peg.5482,fig|287.6612.peg.5694,fig|287.6618.peg.5709,fig|287.6615.peg.5861,fig|287.6617.peg.5552,fig|287.6621.peg.5821,fig|287.6619.peg.5312,fig|287.6622.peg.5494,fig|287.6623.peg.5960,fig|287.6624.peg.6296,fig|287.6625.peg.5504,fig|287.6657.peg.5637,fig|287.6655.peg.5261,fig|287.6631.peg.5913,fig|287.6628.peg.5804,fig|287.6632.peg.5320,fig|287.6629.peg.5956,fig|287.6635.peg.5521,fig|287.6633.peg.5820,fig|287.6634.peg.6258,fig|287.6637.peg.5815,fig|287.6636.peg.5784,fig|287.6620.peg.5906,fig|287.6630.peg.5737,fig|287.6639.peg.6124,fig|287.6638.peg.5321,fig|287.6627.peg.5407
fig|287.6770.peg.5524,"Acyl-CoA dehydrogenase (EC 1.3.8.1), Mycobacterial subgroup FadE23",fig|287.6613.peg.5593,fig|287.6611.peg.5501,fig|287.6614.peg.6206,fig|287.6616.peg.5483,fig|287.6612.peg.5695,fig|287.6618.peg.5710,fig|287.6615.peg.5862,fig|287.6617.peg.5553,fig|287.6621.peg.5822,fig|287.6619.peg.5313,fig|287.6622.peg.5495,fig|287.6623.peg.5961,fig|287.6624.peg.6297,fig|287.6625.peg.5505,fig|287.6657.peg.5638,fig|287.6655.peg.5262,fig|287.6631.peg.5914,fig|287.6628.peg.5805,fig|287.6632.peg.5321,fig|287.6629.peg.5957,fig|287.6635.peg.5522,fig|287.6633.peg.5821,fig|287.6634.peg.6259,fig|287.6637.peg.5816,fig|287.6636.peg.5785,fig|287.6620.peg.5907,,,fig|287.6638.peg.5322,fig|287.6627.peg.5408
fig|287.6770.peg.5525,"Acyl-CoA dehydrogenase (EC 1.3.8.1), Mycobacterial subgroup FadE24",fig|287.6613.peg.5594,fig|287.6611.peg.5502,fig|287.6614.peg.6207,fig|287.6616.peg.5484,fig|287.6612.peg.5696,fig|287.6618.peg.5711,fig|287.6615.peg.5863,fig|287.6617.peg.5554,fig|287.6621.peg.5823,fig|287.6619.peg.5314,fig|287.6622.peg.5496,fig|287.6623.peg.5962,fig|287.6624.peg.6298,fig|287.6625.peg.5506,fig|287.6657.peg.5639,fig|287.6655.peg.5263,fig|287.6631.peg.5915,fig|287.6628.peg.5806,fig|287.6632.peg.5322,fig|287.6629.peg.5958,fig|287.6635.peg.5523,fig|287.6633.peg.5822,fig|287.6634.peg.6260,fig|287.6637.peg.5817,fig|287.6636.peg.5786,fig|287.6620.peg.5908,fig|287.6630.peg.5740,fig|287.6639.peg.6127,fig|287.6638.peg.5323,fig|287.6627.peg.5409
fig|287.6770.peg.5526,D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase (EC 2.7.7.70) / D-glycero-beta-D-manno-heptose-7-phosphate kinase (EC 2.7.1.167),fig|287.6613.peg.5595,fig|287.6611.peg.5503,fig|287.6614.peg.6208,fig|287.6616.peg.5485,fig|287.6612.peg.5697,fig|287.6618.peg.5712,fig|287.6615.peg.5865,fig|287.6617.peg.5555,fig|287.6621.peg.5825,fig|287.6619.peg.5315,fig|287.6622.peg.5497,fig|287.6623.peg.5963,fig|287.6624.peg.6299,fig|287.6625.peg.5507,fig|287.6657.peg.5640,fig|287.6655.peg.5264,fig|287.6631.peg.5918,fig|287.6628.peg.5808,fig|287.6632.peg.5323,fig|287.6629.peg.5960,fig|287.6635.peg.5527,fig|287.6633.peg.5823,fig|287.6634.peg.6261,fig|287.6637.peg.5818,fig|287.6636.peg.5787,fig|287.6620.peg.5910,fig|287.6630.peg.5742,fig|287.6639.peg.6128,fig|287.6638.peg.5325,fig|287.6627.peg.5410
fig|287.6770.peg.5527,Lipid A export permease/ATP-binding protein MsbA,fig|287.6613.peg.5596,fig|287.6611.peg.5504,fig|287.6614.peg.6209,fig|287.6616.peg.5486,fig|287.6612.peg.5698,fig|287.6618.peg.5713,fig|287.6615.peg.5866,fig|287.6617.peg.5556,fig|287.6621.peg.5826,fig|287.6619.peg.5316,fig|287.6622.peg.5498,fig|287.6623.peg.5964,fig|287.6624.peg.6300,fig|287.6625.peg.5508,fig|287.6657.peg.5641,fig|287.6655.peg.5265,fig|287.6631.peg.5919,fig|287.6628.peg.5809,fig|287.6632.peg.5324,fig|287.6629.peg.5961,fig|287.6635.peg.5528,fig|287.6633.peg.5824,fig|287.6634.peg.6262,fig|287.6637.peg.5819,fig|287.6636.peg.5788,fig|287.6620.peg.5911,fig|287.6630.peg.5743,fig|287.6639.peg.6129,fig|287.6638.peg.5326,fig|287.6627.peg.5411
fig|287.6770.peg.5528,"toluene tolerance protein, putative",fig|287.6613.peg.5597,fig|287.6611.peg.5505,fig|287.6614.peg.6210,fig|287.6616.peg.5487,fig|287.6612.peg.5699,fig|287.6618.peg.5714,fig|287.6615.peg.5867,fig|287.6617.peg.5557,fig|287.6621.peg.5827,fig|287.6619.peg.5317,fig|287.6622.peg.5499,fig|287.6623.peg.5965,fig|287.6624.peg.6301,fig|287.6625.peg.5509,fig|287.6657.peg.5642,fig|287.6655.peg.5266,fig|287.6631.peg.5920,fig|287.6628.peg.5810,fig|287.6632.peg.5325,fig|287.6629.peg.5962,fig|287.6635.peg.5529,fig|287.6633.peg.5825,fig|287.6634.peg.6263,fig|287.6637.peg.5820,fig|287.6636.peg.5789,fig|287.6620.peg.5912,fig|287.6630.peg.5744,fig|287.6639.peg.6130,fig|287.6638.peg.5327,fig|287.6627.peg.5412
fig|287.6770.peg.5529,Lipid A core - O-antigen ligase and related enzymes,fig|287.6613.peg.5598,fig|287.6611.peg.5506,fig|287.6614.peg.6211,fig|287.6616.peg.5488,fig|287.6612.peg.5700,fig|287.6618.peg.5715,fig|287.6615.peg.5868,fig|287.6617.peg.5558,fig|287.6621.peg.5828,fig|287.6619.peg.5318,fig|287.6622.peg.5500,fig|287.6623.peg.5966,fig|287.6624.peg.6302,fig|287.6625.peg.5510,fig|287.6657.peg.5643,fig|287.6655.peg.5267,fig|287.6631.peg.5921,fig|287.6628.peg.5811,fig|287.6632.peg.5326,fig|287.6629.peg.5963,fig|287.6635.peg.5530,fig|287.6633.peg.5826,fig|287.6634.peg.6264,fig|287.6637.peg.5821,fig|287.6636.peg.5790,fig|287.6620.peg.5913,fig|287.6630.peg.5745,fig|287.6639.peg.6131,fig|287.6638.peg.5328,fig|287.6627.peg.5413
fig|287.6770.peg.552,FIG00954109: hypothetical protein,,,fig|287.6614.peg.547,fig|287.6616.peg.537,fig|287.6612.peg.544,,,,,,fig|287.6622.peg.605,fig|287.6623.peg.607,fig|287.6624.peg.548,,fig|287.6657.peg.610,fig|287.6655.peg.541,,,,fig|287.6629.peg.596,,,fig|287.6634.peg.550,,,,,fig|287.6639.peg.550,,
fig|287.6770.peg.5530,"alpha-1,3-rhamnosyltransferase",fig|287.6613.peg.5599,fig|287.6611.peg.5507,fig|287.6614.peg.6212,fig|287.6616.peg.5489,fig|287.6612.peg.5701,fig|287.6618.peg.5716,fig|287.6615.peg.5869,fig|287.6617.peg.5559,fig|287.6621.peg.5829,fig|287.6619.peg.5319,fig|287.6622.peg.5501,fig|287.6623.peg.5967,fig|287.6624.peg.6303,fig|287.6625.peg.5511,fig|287.6657.peg.5644,fig|287.6655.peg.5268,fig|287.6631.peg.5922,fig|287.6628.peg.5812,fig|287.6632.peg.5327,fig|287.6629.peg.5964,fig|287.6635.peg.5531,fig|287.6633.peg.5827,fig|287.6634.peg.6265,fig|287.6637.peg.5822,fig|287.6636.peg.5791,fig|287.6620.peg.5914,fig|287.6630.peg.5746,fig|287.6639.peg.6132,fig|287.6638.peg.5329,fig|287.6627.peg.5414
fig|287.6770.peg.5531,Glycosyltransferase (EC 2.4.1.-) in large core OS assembly cluster,fig|287.6613.peg.5600,fig|287.6611.peg.5508,fig|287.6614.peg.6213,fig|287.6616.peg.5490,fig|287.6612.peg.5702,fig|287.6618.peg.5717,fig|287.6615.peg.5870,fig|287.6617.peg.5560,fig|287.6621.peg.5830,fig|287.6619.peg.5320,fig|287.6622.peg.5502,fig|287.6623.peg.5968,fig|287.6624.peg.6304,fig|287.6625.peg.5512,fig|287.6657.peg.5645,fig|287.6655.peg.5269,fig|287.6631.peg.5923,fig|287.6628.peg.5813,fig|287.6632.peg.5328,fig|287.6629.peg.5965,fig|287.6635.peg.5532,fig|287.6633.peg.5828,fig|287.6634.peg.6266,fig|287.6637.peg.5823,fig|287.6636.peg.5792,fig|287.6620.peg.5915,fig|287.6630.peg.5747,fig|287.6639.peg.6133,fig|287.6638.peg.5330,fig|287.6627.peg.5415
fig|287.6770.peg.5532,Hypothetical protein FIG015671 in large core OS assembly cluster,fig|287.6613.peg.5601,fig|287.6611.peg.5509,fig|287.6614.peg.6214,fig|287.6616.peg.5491,fig|287.6612.peg.5703,fig|287.6618.peg.5718,fig|287.6615.peg.5871,fig|287.6617.peg.5561,fig|287.6621.peg.5831,fig|287.6619.peg.5321,fig|287.6622.peg.5503,fig|287.6623.peg.5969,fig|287.6624.peg.6305,fig|287.6625.peg.5513,fig|287.6657.peg.5646,fig|287.6655.peg.5270,fig|287.6631.peg.5924,fig|287.6628.peg.5814,fig|287.6632.peg.5329,fig|287.6629.peg.5966,fig|287.6635.peg.5533,fig|287.6633.peg.5829,fig|287.6634.peg.6267,fig|287.6637.peg.5824,fig|287.6636.peg.5793,fig|287.6620.peg.5916,fig|287.6630.peg.5748,fig|287.6639.peg.6134,fig|287.6638.peg.5331,fig|287.6627.peg.5416
